OBJECTID,Shape,NAME,ID,ADDRESS,CITY,ZIP,PHONE,TYPE,URL
25,"(40.82255467200008, -73.87368257899993)",McDonald's,249,1600 Bruckner Blvd,Bronx,10473, ,Fee-based,http://www.mcdonalds.com/wireless.html
26,"(40.82802869200009, -73.92526783399995)",McDonald's,250,51-67 E 161st St,Bronx,10451, ,Fee-based,http://www.mcdonalds.com/wireless.html
27,"(40.82494034900009, -73.92036454299995)",McDonald's,251,212 E 161st Street,Bronx,10451, ,Fee-based,http://www.mcdonalds.com/wireless.html
28,"(40.81983135300004, -73.92703654499991)",McDonald's,252,597-99 Grand Concourse,Bronx,10451, ,Fee-based,http://www.mcdonalds.com/wireless.html
29,"(40.85019720300005, -73.91651367499992)",McDonald's,253,1745 University Ave,Bronx,10453, ,Fee-based,http://www.mcdonalds.com/wireless.html
30,"(40.86697659400005, -73.89737379499991)",McDonald's,254,2630 Jerome Ave,Bronx,10468, ,Fee-based,http://www.mcdonalds.com/wireless.html
31,"(40.80632370200004, -73.92566787399994)",McDonald's,255,85 Bruckner Blvd,Bronx,10454, ,Fee-based,http://www.mcdonalds.com/wireless.html
32,"(40.834507176000045, -73.85227011299992)",McDonald's,256,1317 Castlehill Avenue,Bronx,10462, ,Fee-based,http://www.mcdonalds.com/wireless.html
33,"(40.87260920600005, -73.85228308799992)",McDonald's,257,1212 E Gun Hill Road,Bronx,10469, ,Fee-based,http://www.mcdonalds.com/wireless.html
34,"(40.872813016000066, -73.8787975109999)",McDonald's,258,300 E 204th St,Bronx,10467, ,Fee-based,http://www.mcdonalds.com/wireless.html
35,"(40.864055516000064, -73.86708888299995)",McDonald's,259,2516 White Plains Rd,Bronx,10467, ,Fee-based,http://www.mcdonalds.com/wireless.html
36,"(40.82639169600009, -73.8616429839999)",McDonald's,260,1865 Bruckner Blvd,Bronx,10472, ,Fee-based,http://www.mcdonalds.com/wireless.html
37,"(40.835382870000046, -73.8612123119999)",Starbucks,261,1385 Metropolitan Avenue,Bronx,10462, ,Fee-based,http://www.starbucks.com
38,"(40.873164175000056, -73.90838895999991)",Starbucks,262,50 W. 225th Street,Bronx,10463, ,Fee-based,http://www.starbucks.com
39,"(40.81681635700005, -73.91700714899991)",T-Mobile,263,2883 3rd Ave,Bronx,10455, ,Fee-based,http://www.t-mobile.com/
40,"(40.861747877000084, -73.89426192399992)",T-Mobile,264,314 East Fordham Road,Bronx,10458, ,Fee-based,http://www.t-mobile.com/
41,"(40.81668737400008, -73.92093801199991)",The UPS Store,265,318a East 149th St,Bronx,10451, ,Fee-based,http://www.theupsstore.com/
42,"(40.67754047900007, -73.8977157839999)",McDonald's,266,50 Jamaica Ave,Brooklyn,11207,541-389-8334,Fee-based,http://www.mcdonalds.com/wireless.html
43,"(40.64398930700008, -74.01108413399993)",McDonald's,267,5121 5th Ave,Brooklyn,11220, ,Fee-based,http://www.mcdonalds.com/wireless.html
44,"(40.67525180500007, -73.9842348379999)",McDonald's,268,275-81 Fourth Ave,Brooklyn,11215, ,Fee-based,http://www.mcdonalds.com/wireless.html
45,"(40.60492597000007, -73.9982065449999)",McDonald's,269,1983 86th St,Brooklyn,11214, ,Fee-based,http://www.mcdonalds.com/wireless.html
46,"(40.71198034400004, -73.94320259599994)",McDonald's,270,741 Grand St,Brooklyn,11211, ,Fee-based,http://www.mcdonalds.com/wireless.html
47,"(40.67732107200004, -73.9225381139999)",McDonald's,271,1883 Atlantic Avenue,Brooklyn,11233, ,Fee-based,http://www.mcdonalds.com/wireless.html
48,"(40.69870549600006, -73.95277442499992)",McDonald's,272,35-40 Nostrand Ave,Brooklyn,11206,718-934-9539,Fee-based,http://www.mcdonalds.com/wireless.html
49,"(40.63235390600005, -73.94798642599994)",McDonald's,273,2154 Nostrand Ave,Brooklyn,11210, ,Fee-based,http://www.mcdonalds.com/wireless.html
50,"(40.59931783800005, -73.98899890399991)",McDonald's,274,2411 86th St,Brooklyn,11214, ,Fee-based,http://www.mcdonalds.com/wireless.html
51,"(40.653736440000046, -74.00541313399992)",McDonald's,275,968 4th Ave,Brooklyn,11232, ,Fee-based,http://www.mcdonalds.com/wireless.html
52,"(40.64875534300006, -73.95797385899994)",McDonald's,276,943 Flatbush Avenue,Brooklyn,11226,718-703-3248,Fee-based,http://www.mcdonalds.com/wireless.html
53,"(40.60956217000006, -73.95709453799992)",McDonald's,277,1607 Kings Highway,Brooklyn,11229, ,Fee-based,http://www.mcdonalds.com/wireless.html
54,"(40.65786940600009, -73.88962933899995)",McDonald's,278,819 Pennsylvania Ave,Brooklyn,11207, ,Fee-based,http://www.mcdonalds.com/wireless.html
55,"(40.669754331000036, -73.9867126449999)",McDonald's,279,289 9th St,Brooklyn,11215, ,Fee-based,http://www.mcdonalds.com/wireless.html
56,"(40.771190603000036, -73.95698679599991)",Starbucks,587,1449 Second Avenue,New York,10021,212-472-0653,Fee-based,http://www.starbucks.com
57,"(40.77031142800007, -73.95474539399993)",Starbucks,588,1445 First Avenue,New York,10021,212-472-7784,Fee-based,http://www.starbucks.com
58,"(40.77467543900008, -73.95443192499994)",Starbucks,589,1559 2nd Avenue,New York,10028,212-472-7972,Fee-based,http://www.starbucks.com
59,"(40.77754244000005, -73.97839385999993)",Starbucks,590,267-275 Columbus Ave,New York,10023,212-579-7834,Fee-based,http://www.starbucks.com
60,"(40.77418342400006, -73.98151800699992)",Starbucks,591,152 - 154 Columbus Avenue,New York,10023,212-721-0470,Fee-based,http://www.starbucks.com
61,"(40.77990543800007, -73.97725208799994)",Starbucks,592,338 Columbus Avenue,New York,10023,646-505-1106,Fee-based,http://www.starbucks.com
62,"(40.76098703400004, -73.97000655099993)",Starbucks,593,116 E. 57th Street,New York,10022,212-486-1632,Fee-based,http://www.starbucks.com
63,"(40.76230819600005, -73.97386486099992)",Starbucks,594,725 5th Avenue,New York,10022,212-421-7154,Fee-based,http://www.starbucks.com
64,"(40.76485352600008, -73.9784773959999)",Starbucks,595,142 W. 57th Street,New York,10019,646-710-1905,Fee-based,http://www.starbucks.com
65,"(40.77747548600007, -73.95549153899992)",Starbucks,596,1488 Third Avenue,New York,10028,212-744-7458,Fee-based,http://www.starbucks.com
66,"(40.76382673200004, -73.97713123099993)",Starbucks,597,1380 Sixth Avenue,New York,10019,212-977-1382,Fee-based,http://www.starbucks.com
67,"(40.76371729300007, -73.97896509899994)",Starbucks,598,120 W. 56th Street,New York,10019,212-262-9273,Fee-based,http://www.starbucks.com
68,"(40.76932541100007, -73.98263851899992)",Starbucks,599,1841 Broadway,New York,10023,212-307-0162,Fee-based,http://www.starbucks.com
69,"(40.76736296200005, -73.98290978699993)",Starbucks,600,4 Columbus Circle,New York,10019,212-265-0658,Fee-based,http://www.starbucks.com
70,"(40.780255974000056, -73.95567383199995)",Starbucks,601,120 EAST 87TH ST,New York,10128,212-426-2580,Fee-based,http://www.starbucks.com
71,"(40.77765022600005, -73.98280243799991)",Starbucks,603,2045 Broadway,New York,10023,212-496-1551,Fee-based,http://www.starbucks.com
72,"(40.76039134500007, -73.96062514999994)",Starbucks,604,1102 1st Ave,New York,10021,212-688-9118,Fee-based,http://www.starbucks.com
73,"(40.764714017000074, -73.9811776869999)",Starbucks,605,870 7th Avenue,New York,10019,212-586-2142,Fee-based,http://www.starbucks.com
74,"(40.78373379900006, -73.97464725799995)",Starbucks,606,444 Columbus Avenue,New York,10024,212-769-2296,Fee-based,http://www.starbucks.com
75,"(40.754874457000085, -73.98344357699995)",Starbucks,607,1100 Avenue of the Americas,New York,10036,212-398-4508,Fee-based,http://www.starbucks.com
76,"(40.762998183000036, -73.97904113599992)",Starbucks,608,1345 6th Ave,New York,10019,212-265-8610,Fee-based,http://www.starbucks.com
77,"(40.76677576000009, -73.98411930999993)",Starbucks,609,322 West 57th Street,New York,10019,212-399-0714,Fee-based,http://www.starbucks.com
78,"(40.769512381000084, -73.98497066999994)",Starbucks,610,2 Columbus Avenue,New York,10019,212-489-6757,Fee-based,http://www.starbucks.com
79,"(40.76193311900005, -73.97847111999994)",Starbucks,611,1320 Avenue of the Americas,New York,10019,212-969-9066,Fee-based,http://www.starbucks.com
80,"(40.764173449000054, -73.9820947629999)",Starbucks,612,1710 Broadway,New York,10019,212-245-0761,Fee-based,http://www.starbucks.com
81,"(40.78105613000008, -73.98081559699995)",Starbucks,613,2140 Broadway,New York,10023,212-580-1141,Fee-based,http://www.starbucks.com
82,"(40.77601047600007, -73.95043411099994)",Starbucks,614,1631 1st Ave,New York,10028,212-737-6534,Fee-based,http://www.starbucks.com
83,"(40.75783899600009, -73.97071905799993)",Starbucks,615,599 Lexington Ave,New York,10022,212-754-1864,Fee-based,http://www.starbucks.com
84,"(40.761686663000035, -73.98178498899995)",Starbucks,616,156 W 52nd St,New York,10019,212-581-6410,Fee-based,http://www.starbucks.com
85,"(40.76047024600007, -73.9788758819999)",Starbucks,617,1290 6th Ave,New York,10019,212-977-4861,Fee-based,http://www.starbucks.com
86,"(40.75855618200006, -73.9740937389999)",Starbucks,618,45 E. 51st Street,New York,10022,212-688-8834,Fee-based,http://www.starbucks.com
87,"(40.78672916600004, -73.97224574299992)",Starbucks,619,540 Columbus Avenue,New York,10024,212-496-4139,Fee-based,http://www.starbucks.com
88,"(40.76220834900005, -73.98299413699993)",Starbucks,620,1656 Broadway,New York,10019,212-397-7124,Fee-based,http://www.starbucks.com
89,"(40.78475564200005, -73.97859734899993)",Starbucks,621,2252 Broadway,New York,10024,212-721-4157,Fee-based,http://www.starbucks.com
90,"(40.75602010500006, -73.9641072789999)",Starbucks,622,400 East 54th Street,New York,10022,212-688-8951,Fee-based,http://www.starbucks.com
91,"(40.75685684800004, -73.97263254099994)",Starbucks,623,560 Lexington Avenue,New York,10022,212-751-2937,Fee-based,http://www.starbucks.com
92,"(40.76388846700007, -73.98544844599991)",Starbucks,624,871 8th Avenue,New York,10019,212-246-7699,Fee-based,http://www.starbucks.com
93,"(40.759155657000065, -73.97967403299992)",Starbucks,625,30 Rockefeller Plaza,New York,10020,212-586-0911,Fee-based,http://www.starbucks.com
94,"(40.782633984000086, -73.95151606999991)",Starbucks,626,1642 Third Avenue,New York,10128,212-360-0425,Fee-based,http://www.starbucks.com
95,"(40.76087453700006, -73.98391857199994)",Starbucks,627,750 Seventh Avenue,New York,10019,212-974-0032,Fee-based,http://www.starbucks.com
96,"(40.75642373900007, -73.97510161999992)",Starbucks,628,280 Park Avenue,New York,10017,212-573-9869,Fee-based,http://www.starbucks.com
97,"(40.77909693400005, -73.94734102399991)",Starbucks,629,400 East 90th Street,New York,10128,212-987-0891,Fee-based,http://www.starbucks.com
98,"(40.75508549300008, -73.96872424999992)",Starbucks,630,943 Second Avenue,New York,10022,212-715-0752,Fee-based,http://www.starbucks.com
99,"(40.75676313900004, -73.98565213699993)",Starbucks,631,1500 Broadway,New York,10036,212-221-7515,Fee-based,http://www.starbucks.com
100,"(40.76224454900006, -73.9869613219999)",Starbucks,632,825 Eighth Avenue,New York,10019,212-307-7173,Fee-based,http://www.starbucks.com
101,"(40.75628164900007, -73.97825276799995)",Starbucks,633,575 Fifth Avenue,New York,10017,212-490-3189,Fee-based,http://www.starbucks.com
102,"(40.75998819600005, -73.9855142749999)",Starbucks,634,1585 Broadway,New York,10036,212-541-7515,Fee-based,http://www.starbucks.com
103,"(40.75899747200003, -73.9714910109999)",Starbucks,635,630 Lexington Ave,New York,10022,212-521-8075,Fee-based,http://www.starbucks.com
104,"(40.76233247500005, -73.98782405299994)",Starbucks,636,325 W 49th St,New York,10019,212-765-2205,Fee-based,http://www.starbucks.com
105,"(40.75787156700005, -73.9824141009999)",Starbucks,637,1185 Sixth Avenue,New York,10036,212-382-0352,Fee-based,http://www.starbucks.com
106,"(40.75392792200006, -73.9714715259999)",Starbucks,638,757 Third Avenue,New York,10017,212-715-9884,Fee-based,http://www.starbucks.com
107,"(40.70135824400006, -73.9434821349999)",McDonald's,280,700 Broadway,Brooklyn,11206, ,Fee-based,http://www.mcdonalds.com/wireless.html
108,"(40.67623571900003, -73.89066967899993)",McDonald's,281,2800 Atlantic Ave,Brooklyn,11207, ,Fee-based,http://www.mcdonalds.com/wireless.html
109,"(40.57955036000004, -73.9750991599999)",McDonald's,282,606 Neptune Ave,Brooklyn,11224, ,Fee-based,http://www.mcdonalds.com/wireless.html
110,"(40.68010104000007, -73.9401147019999)",McDonald's,283,1531 Fulton Street,Brooklyn,11216, ,Fee-based,http://www.mcdonalds.com/wireless.html
111,"(40.66372609900009, -73.95999375299994)",McDonald's,284,57 Empire Blvd,Brooklyn,11225, ,Fee-based,http://www.mcdonalds.com/wireless.html
112,"(40.62208857300004, -74.02775167499993)",McDonald's,285,430 86th St.,Brooklyn,11209, ,Fee-based,http://www.mcdonalds.com/wireless.html
113,"(40.63580047700009, -73.96814242999994)",McDonald's,286,880 Coney Island Ave,Brooklyn,11218, ,Fee-based,http://www.mcdonalds.com/wireless.html
114,"(40.63377564600006, -73.91551621499991)",McDonald's,287,7602 Flatlands Avenue,Brooklyn,11236, ,Fee-based,http://www.mcdonalds.com/wireless.html
115,"(40.65042913600007, -73.9498174659999)",McDonald's,288,2848 Church Avenue,Brooklyn,11226,718-940-8082,Fee-based,http://www.mcdonalds.com/wireless.html
116,"(40.63381991700004, -74.02728457799992)",McDonald's,289,7124 3rd Ave.,Brooklyn,11209, ,Fee-based,http://www.mcdonalds.com/wireless.html
117,"(40.69931850800003, -73.9197536449999)",McDonald's,290,428 Knickerbocker Ave,Brooklyn,11237, ,Fee-based,http://www.mcdonalds.com/wireless.html
118,"(40.70894033700006, -73.95891339399992)",McDonald's,291,267 Broadway,Brooklyn,11211, ,Fee-based,http://www.mcdonalds.com/wireless.html
119,"(40.610083158000066, -73.92013823299993)",McDonald's,292,5407 Kings Plz,Brooklyn,11234, ,Fee-based,http://www.mcdonalds.com/wireless.html
120,"(40.66480279100006, -73.9235078559999)",McDonald's,293,1101 Rutland Avenue,Brooklyn,11212, ,Fee-based,http://www.mcdonalds.com/wireless.html
121,"(40.72248803800005, -73.93929374899994)",McDonald's,294,652 Meeker Ave,Brooklyn,11222, ,Fee-based,http://www.mcdonalds.com/wireless.html
122,"(40.68512549900004, -73.99123106499991)",New York Perks,295,193 Smith Street,Brooklyn,11201, ,Fee-based, 
123,"(40.67575505700006, -73.9743169759999)",Ozzie's Coffee -  7th Ave.,296,57 7th Avenue,Brooklyn,11217,718-398-6695,Fee-based, 
124,"(40.674801236000064, -73.98138692299995)",Ozzies Coffee and Tea,297,249 5th Avenue,Brooklyn,11215,718-768-6868,Fee-based, 
125,"(40.697641719000046, -73.99222115799995)",Park Plaza Diner,298,220 Cadman Plaza West,Brooklyn,11201, ,Fee-based, 
126,"(40.63411930600006, -74.02639478499992)",Uprising Cafe - 3rd Ave,299,7025 3rd Ave,Brooklyn,11209, ,Fee-based, 
127,"(40.667190014000084, -73.98165218899993)",Uprising Cafe - 9 street,300,328 7th Ave,Brooklyn,11215, ,Fee-based, 
128,"(40.71382874100004, -73.95178976699992)",Kelloggs Diner,301,518 Metropolitan Ave,Brooklyn,11211, ,Fee-based, 
129,"(40.61911611600004, -73.98979170199993)",Starbucks,303,6423 18th Avenue,Brooklyn,11204,718-234-7160,Fee-based,http://www.starbucks.com
130,"(40.631525228000044, -74.02747458399995)",Starbucks,304,7419 3rd Avenue,Brooklyn,11209,718-836-3519,Fee-based,http://www.starbucks.com
131,"(40.619251804000044, -74.03304556699993)",Starbucks,305,9202 Third Avenue,Brooklyn,11209,718-492-7395,Fee-based,http://www.starbucks.com
132,"(40.57794904300005, -73.96123668799993)",Starbucks,306,607 Brighton Beach Av,Brooklyn,11235,718-934-3211,Fee-based,http://www.starbucks.com
133,"(40.688490684000044, -73.99257920199994)",Starbucks,307,167 Court Street,Brooklyn,11201,718-222-9729,Fee-based,http://www.starbucks.com
134,"(40.69240857400007, -73.99129430499994)",Starbucks,308,50 Court Street,Brooklyn,11201,718-855-0369,Fee-based,http://www.starbucks.com
135,"(40.632255426000086, -73.94872507299993)",Starbucks,309,33 Hillel Place,Brooklyn,11210,718-338-2489,Fee-based,http://www.starbucks.com
136,"(40.672074991000045, -73.97755923599993)",Starbucks,310,164 7th Avenue,Brooklyn,11215,718-369-1213,Fee-based,http://www.starbucks.com
137,"(40.71672463800007, -73.95935229999992)",The Internet Garage,311,218 Bedford Avenue,Brooklyn,11211, ,Fee-based, 
138,"(40.71137722200007, -73.9446928289999)",Power Talk,312,700 Grand Street,Brooklyn,11211, ,Fee-based, 
139,"(40.67966658200004, -73.9647865199999)",Purity Diner,313,43 Underill Ave.,Brooklyn,11238,212-937-8902,Fee-based,http://www.s-ilink.net
140,"(40.604072140000085, -74.00696125399992)",Goal Post,314,1752 Bath Ave.,Brooklyn,11214, ,Fee-based, 
141,"(40.613863740000056, -74.03317256399993)",Laundry King,315,9814 4th Avenue,Brooklyn,11209, ,Fee-based, 
142,"(40.72016884000004, -73.8454635839999)",McDonald's,316,106-15 71ST AVE,Forest Hills,11375, ,Fee-based,http://www.mcdonalds.com/wireless.html
143,"(40.711254557000075, -73.85443338199991)",McDonald's,317,98-01 METROPOLITAN AVE,Forest Hills,11375, ,Fee-based,http://www.mcdonalds.com/wireless.html
144,"(40.72748390000004, -73.8123906159999)",McDonald's,318,72-69 KISSENA BLVD,Flushing,11367, ,Fee-based,http://www.mcdonalds.com/wireless.html
145,"(40.70689005300005, -73.80262355999992)",McDonald's,319,87-88 PARSON BLVD,Jamaica,11432, ,Fee-based,http://www.mcdonalds.com/wireless.html
146,"(40.70369337400007, -73.80001098199995)",McDonald's,320,159-01 JAMAICA AVENUE,Jamaica,11432, ,Fee-based,http://www.mcdonalds.com/wireless.html
147,"(40.72961108000004, -73.86301654499994)",McDonald's,321,95-05A 63RD DR,Rego Park,11374, ,Fee-based,http://www.mcdonalds.com/wireless.html
148,"(40.73376072900004, -73.86974467899995)",McDonald's,322,91-19 QUEEN BLVD,Elmhurst,11373, ,Fee-based,http://www.mcdonalds.com/wireless.html
149,"(40.73694261400004, -73.8655887349999)",McDonald's,323,95-05 57TH AVE,Corona,11373, ,Fee-based,http://www.mcdonalds.com/wireless.html
150,"(40.686563970000066, -73.82398279499995)",McDonald's,324,119-05 LIBERTY AVE,Richmond Hills,11419, ,Fee-based,http://www.mcdonalds.com/wireless.html
151,"(40.749551833000055, -73.86310546999994)",McDonald's,325,40-12 NATIONAL ST,Corona,11368, ,Fee-based,http://www.mcdonalds.com/wireless.html
152,"(40.71357046700007, -73.78116981699992)",McDonald's,326,181-25 HILLSIDE AVENUE,Jamaica,11432, ,Fee-based,http://www.mcdonalds.com/wireless.html
153,"(40.73813354300006, -73.88291444399994)",McDonald's,327,80-03 QUEENS BLVD,Elmhurst,11373, ,Fee-based,http://www.mcdonalds.com/wireless.html
154,"(40.68616160000005, -73.79329203299994)",McDonald's,328,114-01 SUTPHIN BLVD,Jamaica,11436, ,Fee-based,http://www.mcdonalds.com/wireless.html
155,"(40.74807311700005, -73.88372705899991)",McDonald's,329,37-59 82ND ST,Jackson Heights,11372, ,Fee-based,http://www.mcdonalds.com/wireless.html
156,"(40.74723378200008, -73.88988188799993)",McDonald's,330,75-11 ROOSEVELT AVE,Jackson Heights,11372, ,Fee-based,http://www.mcdonalds.com/wireless.html
157,"(40.75111634600006, -73.87022325399994)",McDonald's,331,37-19 JUNCTION BLVD,Corona,11368, ,Fee-based,http://www.mcdonalds.com/wireless.html
158,"(40.76381425800008, -73.80951586399993)",McDonald's,332,155-14 ROOSEVELT AVE,Flushing,11354, ,Fee-based,http://www.mcdonalds.com/wireless.html
159,"(40.713309378000076, -73.90971967899992)",McDonald's,333,54-29 METROPOLITAN AVE,Ridgewood,11385, ,Fee-based,http://www.mcdonalds.com/wireless.html
160,"(40.726281449000055, -73.90669313799992)",McDonald's,334,59-60 55TH ROAD,Maspeth,11378, ,Fee-based,http://www.mcdonalds.com/wireless.html
161,"(40.76965478200009, -73.83417509199995)",McDonald's,335,3001 STRATTON ST,Flushing,11354, ,Fee-based,http://www.mcdonalds.com/wireless.html
162,"(40.75788745700004, -73.77976447399993)",McDonald's,336,203-11 NORTHERN BLVD,Bayside,11361, ,Fee-based,http://www.mcdonalds.com/wireless.html
163,"(40.76435211100005, -73.88093703499993)",McDonald's,337,88-05 ASTORIA BLVD,E Elmhurst,11369, ,Fee-based,http://www.mcdonalds.com/wireless.html
164,"(40.65780276800007, -73.83994589499991)",McDonald's,338,159-40 CROSS BAY BLVD,Howard Beach,11414, ,Fee-based,http://www.mcdonalds.com/wireless.html
165,"(40.753395450000085, -73.90834793999994)",McDonald's,339,51-35 NORTHERN BLVD,Woodside,11377, ,Fee-based,http://www.mcdonalds.com/wireless.html
166,"(40.69944620500007, -73.91053547299992)",McDonald's,340,54-04 MYRTLE AVE,Ridgewood,11385, ,Fee-based,http://www.mcdonalds.com/wireless.html
167,"(40.741711240000086, -73.91963041199995)",McDonald's,342,45-06 GREENPOINT AVE,Sun,11104, ,Fee-based,http://www.mcdonalds.com/wireless.html
168,"(40.72921946300005, -73.74438851299993)",McDonald's,343,88-14 SPRINGFIELD BLVD,Hillside,11427, ,Fee-based,http://www.mcdonalds.com/wireless.html
169,"(40.75944409600004, -73.91825899899993)",McDonald's,344,31-67 STEINWAY ST,Astoria,11103, ,Fee-based,http://www.mcdonalds.com/wireless.html
170,"(40.87027917200004, -73.82861632099991)",NYC Public Library - Baychester Branch,1,2049 Asch Loop North,Bronx,10475,718-379-6700,Free,http://www.nypl.org/branch/services/wifi.html
171,"(40.82661067600009, -73.85018107899992)",NYC Public Library - Castel Hill Branch,2,947 Castle Hill Avenue,Bronx,10473,718-824-3838,Free,http://www.nypl.org/branch/services/wifi.html
172,"(40.84769385000004, -73.78636716099993)",NYC Public Library - City Island Branch,3,320 City Island Avenue,Bronx,10464,718-885-1703,Free,http://www.nypl.org/branch/services/wifi.html
173,"(40.82999431400009, -73.87501990299995)",NYC Public Library - Clason's Point Branch,4,1215 Morrison Avenue,Bronx,10472,718-842-1235,Free,http://www.nypl.org/branch/services/wifi.html
174,"(40.870140491000086, -73.84506443399994)",NYC Public Library - Eastchester Branch,5,1385 East Gun Hill Road,Bronx,10469,718-653-3292,Free,http://www.nypl.org/branch/services/wifi.html
175,"(40.88889472000005, -73.84083619599994)",NYC Public Library - Edenwald Branch,6,1255 East 233rd Street,Bronx,10466,718-798-3355,Free,http://www.nypl.org/branch/services/wifi.html
176,"(40.857437754000046, -73.90927460499995)",NYC Public Library - Francis Martin Branch,8,2150 University Avenue,Bronx,10453,718-295-5287,Free,http://www.nypl.org/branch/services/wifi.html
177,"(40.81868873900004, -73.89413524399993)",NYC Public Library - Hunt's Point Branch,9,877 Southern Boulevard,Bronx,10459,718-617-0338,Free,http://www.nypl.org/branch/services/wifi.html
178,"(40.86904119500008, -73.90119231999995)",NYC Public Library - Jerome Park Branch,10,118 Eames Place,Bronx,10468,718-549-5200,Free,http://www.nypl.org/branch/services/wifi.html
179,"(40.88032201200008, -73.90798492699992)",NYC Public Library - Kingsbridge Branch,11,280 West 231st Street,Bronx,10463,718-548-5656,Free,http://www.nypl.org/branch/services/wifi.html
180,"(40.84429395700005, -73.82788812599995)",NYC Public Library - Pelham Bay Branch,12,3060 Middletown Road,Bronx,10461,718-792-6744,Free,http://www.nypl.org/branch/services/wifi.html
181,"(40.90372441100004, -73.9027722539999)",NYC Public Library - Riverdale Branch,13,5540 Mosholu Avenue,Bronx,10471,718-549-1212,Free,http://www.nypl.org/branch/services/wifi.html
